,Дата,Добыча воды за 2ч,Показания влагомера
160,2022-01-15 08:00:00,0.7023360000000005,0.15
161,2022-01-15 10:00:00,0.712872,0.15
162,2022-01-15 12:00:00,0.7137000000000002,0.15
163,2022-01-15 14:00:00,0.7089240000000006,0.25
164,2022-01-15 16:00:00,0.7026959999999994,0.19
165,2022-01-15 18:00:00,0.7001879999999996,0.21
166,2022-01-15 20:00:00,0.6982079999999999,0.19
167,2022-01-15 22:00:00,0.7228560000000002,0.18
168,2022-01-16 00:00:00,0.7631259999999997,0.13
169,2022-01-16 02:00:00,0.5805764999999995,0.18
170,2022-01-16 04:00:00,0.5867715000000002,0.16
171,2022-01-16 06:00:00,0.6285825000000002,0.18
172,2022-01-16 08:00:00,0.5972505,0.17
173,2022-01-16 10:00:00,0.5974815000000003,0.17
174,2022-01-16 12:00:00,0.6107324999999999,0.19
175,2022-01-16 14:00:00,0.5891654999999999,0.19
176,2022-01-16 16:00:00,0.6201300000000002,0.19
177,2022-01-16 18:00:00,0.5880735000000001,0.17
178,2022-01-16 20:00:00,0.6270494999999994,0.18
179,2022-01-16 22:00:00,0.5804925000000003,0.18
180,2022-01-17 00:00:00,0.6086849999999997,0.13
181,2022-01-17 02:00:00,0.7583085000000005,0.05
182,2022-01-17 04:00:00,0.7991999999999997,0.1
183,2022-01-17 06:00:00,0.7920315000000002,0.14
184,2022-01-17 08:00:00,0.780624,0.14
185,2022-01-17 10:00:00,0.7866315000000003,0.12
186,2022-01-17 12:00:00,0.7922745,0.14
187,2022-01-17 14:00:00,0.7812179999999996,0.13
188,2022-01-17 16:00:00,0.7791525000000001,0.14
189,2022-01-17 18:00:00,0.7876439999999999,0.15
190,2022-01-17 20:00:00,0.7440254999999999,0.13
191,2022-01-17 22:00:00,0.8340300000000002,0.17
192,2022-01-18 00:00:00,0.8031690000000006,0.15
193,2022-01-18 02:00:00,0.6646679999999996,0.15
194,2022-01-18 04:00:00,0.6589560000000003,0.16
195,2022-01-18 06:00:00,0.7499279999999995,0.15
196,2022-01-18 08:00:00,0.7202280000000002,0.13
197,2022-01-18 10:00:00,0.6482159999999996,0.13
198,2022-01-18 12:00:00,0.69372,0.15
199,2022-01-18 14:00:00,0.6981240000000003,0.12
200,2022-01-18 16:00:00,0.7165199999999998,0.14
201,2022-01-18 18:00:00,0.6948240000000001,0.14
202,2022-01-18 20:00:00,0.715008,0.16
203,2022-01-18 22:00:00,0.694284,0.13
204,2022-01-19 00:00:00,0.6859439999999997,0.15
205,2022-01-19 02:00:00,0.702024,0.12
206,2022-01-19 04:00:00,0.7000560000000005,0.14
207,2022-01-19 06:00:00,0.6794519999999991,0.14
208,2022-01-19 08:00:00,0.7045080000000011,0.16
209,2022-01-19 10:00:00,0.7078439999999998,0.15
210,2022-01-19 12:00:00,0.6835439999999996,0.16
211,2022-01-19 14:00:00,0.726576,0.15
212,2022-01-19 16:00:00,0.6718080000000002,0.15
213,2022-01-19 18:00:00,0.6832800000000002,0.13
214,2022-01-19 20:00:00,0.7041599999999997,0.17
215,2022-01-19 22:00:00,0.6879959999999998,0.15
216,2022-01-20 00:00:00,0.8117879999999996,0.18
217,2022-01-20 02:00:00,0.8234590000000003,0.12
218,2022-01-20 04:00:00,0.7577569999999999,0.19
219,2022-01-20 06:00:00,0.8127340000000008,0.17
220,2022-01-20 08:00:00,0.8212879999999997,0.16
221,2022-01-20 10:00:00,0.7680659999999997,0.16
222,2022-01-20 12:00:00,0.8247720000000003,0.14
223,2022-01-20 14:00:00,0.6775859999999999,0.16
224,2022-01-20 16:00:00,0.7849660000000003,0.15
225,2022-01-20 18:00:00,0.8124480000000005,0.14
226,2022-01-20 20:00:00,0.7707049999999996,0.17
227,2022-01-20 22:00:00,0.7787780000000001,0.15
228,2022-01-21 00:00:00,0.7902310000000001,0.18
229,2022-01-21 02:00:00,0.5988299999999995,0.16
230,2022-01-21 04:00:00,0.6009200000000002,0.17
231,2022-01-21 06:00:00,0.6434899999999998,0.15
232,2022-01-21 08:00:00,0.5701600000000002,0.15
233,2022-01-21 10:00:00,0.5981899999999999,0.15
234,2022-01-21 12:00:00,0.5780399999999998,0.16
235,2022-01-21 14:00:00,0.6179900000000006,0.15
236,2022-01-21 16:00:00,0.5940499999999997,0.15
237,2022-01-21 18:00:00,0.6522999999999999,0.17
238,2022-01-21 20:00:00,0.5998400000000004,0.13
239,2022-01-21 22:00:00,0.6044099999999996,0.16
240,2022-01-22 00:00:00,0.5903099999999999,0.19
241,2022-01-22 02:00:00,0.5245180000000002,0.16
242,2022-01-22 04:00:00,0.4903394999999997,0.15
243,2022-01-22 06:00:00,0.5187125000000006,0.16
244,2022-01-22 08:00:00,0.5433879999999995,0.16
245,2022-01-22 10:00:00,0.5176839999999999,0.15
246,2022-01-22 12:00:00,0.5088780000000004,0.15
247,2022-01-22 14:00:00,0.5095834999999999,0.17
248,2022-01-22 16:00:00,0.5178454999999995,0.16
249,2022-01-22 18:00:00,0.5142840000000003,0.15
250,2022-01-22 20:00:00,0.5058690000000005,0.15
251,2022-01-22 22:00:00,0.520438,0.15
252,2022-01-23 00:00:00,0.5320234999999996,0.19
253,2022-01-23 02:00:00,0.2959200000000001,0.16
254,2022-01-23 04:00:00,0.29809999999999987,0.18
255,2022-01-23 06:00:00,0.3033549999999999,0.16
256,2022-01-23 08:00:00,0.30614500000000006,0.16
257,2022-01-23 10:00:00,0.3022900000000001,0.16
258,2022-01-23 12:00:00,0.3005249999999998,0.17
259,2022-01-23 14:00:00,0.30152999999999996,0.15
260,2022-01-23 16:00:00,0.3091650000000002,0.16
261,2022-01-23 18:00:00,0.3096800000000001,0.14
262,2022-01-23 20:00:00,0.2945599999999998,0.17
263,2022-01-23 22:00:00,0.3169249999999999,0.15
264,2022-01-24 00:00:00,0.2936800000000001,0.18
265,2022-01-24 02:00:00,0.5886500000000001,0.16
266,2022-01-24 04:00:00,0.58096,0.17
267,2022-01-24 06:00:00,0.6178600000000003,0.17
268,2022-01-24 08:00:00,0.5798199999999996,0.16
269,2022-01-24 10:00:00,0.6021999999999998,0.18
270,2022-01-24 12:00:00,0.5944800000000007,0.16
271,2022-01-24 14:00:00,0.6249199999999996,0.16
