Date,BlockP,BlockT,C1P,C1T,C1L,C2P,C2T,C2interfacial_L,С2petrol_L,OH_T,OH_interfacial_L,OH_P,C3T,C3L,P1Tinput,P1Toutput,P1Pinput,P1Poutput,P1Тcoolant,P1Tgases,P1Рburner,P2Tinput,P2Toutput,P2Pinput,P2Poutput,P2Tcoolant,P2Tgases,P2Pburner,Water,Vlagomer,BEV1L,BEV1V_water,BEV1V_petrol,BEV1T_water
2022-01-03 04:00:00,0.3913043,0.0,0.4117648,0.12499997,0.25210083,0.6122449,0.9285714,0.39999995,0.4,0.25,1.0,0.6153846,1.0,0.33333337,0.33678758,0.93097925,0.55,0.62,0.40789473,0.60922503,0.99999994,0.33591732,0.9104477,0.57894737,0.632653,0.507365,0.47631583,1.0,0.08967024,0.14,,,,
2022-01-03 06:00:00,0.3913043,0.0,0.4117648,0.12499997,0.25210083,0.6122449,0.9285714,0.39999995,0.4,0.25,1.0,0.6153846,1.0,0.33333337,0.33678758,0.93097925,0.55,0.62,0.40789473,0.8365313,0.99999994,0.33591732,0.9104477,0.57894737,0.632653,0.507365,0.46917298,1.0,0.09065467,0.14,,,,
2022-01-03 08:00:00,0.3913043,0.0,0.4117648,0.12499997,0.25210083,0.6122449,0.9285714,0.39999995,0.4,0.25,1.0,0.6153846,1.0,0.33333337,0.33678758,0.93097925,0.55,0.62,0.40789473,0.83763826,0.99999994,0.33591732,0.9104477,0.57894737,0.632653,0.507365,0.46992487,1.0,0.08582002,0.14,,,,
2022-01-03 10:00:00,0.3913043,0.0,0.4117648,0.12499997,0.25210083,0.6122449,0.9285714,0.39999995,0.4,0.25,1.0,0.6153846,1.0,0.33333337,0.33678758,0.93097925,0.55,0.62,0.40789473,0.83763826,0.99999994,0.33591732,0.9104477,0.57894737,0.632653,0.507365,0.46992487,1.0,0.08717263,0.12,,,,
2022-01-03 12:00:00,0.3913043,0.0,0.4117648,0.12499997,0.25210083,0.6122449,0.9285714,0.39999995,0.4,0.25,1.0,0.6153846,1.0,0.33333337,0.33678758,0.93097925,0.55,0.62,0.40789473,0.83763826,0.99999994,0.33591732,0.9104477,0.57894737,0.632653,0.507365,0.46992487,1.0,0.087432116,0.12,,,,
2022-01-03 14:00:00,0.3913043,0.0,0.4117648,0.12499997,0.25210083,0.6122449,0.9285714,0.39999995,0.4,0.25,1.0,0.6153846,1.0,0.33333337,0.33678758,0.93097925,0.55,0.62,0.40789473,0.83763826,0.99999994,0.33591732,0.9104477,0.57894737,0.632653,0.507365,0.46992487,1.0,0.09020379,0.15,,,,
2022-01-03 16:00:00,0.3913043,0.0,0.4117648,0.12499997,0.25210083,0.6122449,0.9285714,0.39999995,0.4,0.25,1.0,0.6153846,1.0,0.33333337,0.33678758,0.93097925,0.55,0.62,0.40789473,0.83763826,0.99999994,0.33591732,0.9104477,0.57894737,0.632653,0.507365,0.46992487,1.0,0.08423552,0.14,,,,
2022-01-03 18:00:00,0.3913043,0.0,0.4117648,0.12499997,0.25210083,0.6122449,0.9285714,0.39999995,0.4,0.25,1.0,0.6153846,1.0,0.33333337,0.33678758,0.93097925,0.55,0.62,0.40789473,0.83763826,0.99999994,0.33591732,0.9104477,0.57894737,0.632653,0.507365,0.46992487,1.0,0.087733775,0.14,,,,
2022-01-03 20:00:00,0.3913043,0.0,0.4117648,0.12499997,0.25210083,0.6122449,0.9285714,0.39999995,0.4,0.25,1.0,0.6153846,1.0,0.33333337,0.33678758,0.93097925,0.55,0.62,0.40789473,0.66568255,0.99999994,0.33591732,0.9104477,0.57894737,0.632653,0.507365,0.47744367,1.0,0.085401595,0.13,,,,
2022-01-04 00:00:00,0.3913043,0.0,0.4117648,0.12499997,0.25210083,0.6122449,0.9285714,0.39999995,0.4,0.25,1.0,0.6153846,1.0,0.33333337,0.33678758,0.93097925,0.55,0.62,0.40789473,0.58339477,0.99999994,0.33591732,0.9104477,0.57894737,0.632653,0.507365,0.74548876,1.0,0.08975944,0.13,,,,
2022-01-04 02:00:00,0.3913043,0.0,0.4117648,0.12499997,0.25210083,0.6122449,0.9285714,0.39999995,0.4,0.25,1.0,0.6153846,1.0,0.33333337,0.33678758,0.93097925,0.55,0.62,0.40789473,0.45424348,0.99999994,0.33591732,0.9104477,0.57894737,0.632653,0.507365,0.77969927,1.0,0.13854852,0.15,,,,
2022-01-04 04:00:00,0.3913043,0.0,0.4117648,0.12499997,0.25210083,0.6122449,0.9285714,0.39999995,0.4,0.25,1.0,0.6153846,1.0,0.33333337,0.33678758,0.93097925,0.55,0.62,0.40789473,0.9261992,0.99999994,0.33591732,0.9104477,0.57894737,0.632653,0.507365,0.51503766,1.0,0.1320483,0.15,,,,
2022-01-04 06:00:00,0.3913043,0.0,0.4117648,0.12499997,0.25210083,0.6122449,0.9285714,0.39999995,0.4,0.25,1.0,0.6153846,1.0,0.33333337,0.33678758,0.93097925,0.55,0.62,0.40789473,0.9261992,0.99999994,0.33591732,0.9104477,0.57894737,0.632653,0.507365,0.51503766,1.0,0.13669966,0.15,,,,
2022-01-04 08:00:00,0.3478261,0.0,0.35294133,0.0,0.25210083,0.6122449,0.8571428,0.39999995,0.4,0.41666666,0.8571429,0.6153846,0.95652175,0.33333337,0.33678758,0.80256826,0.5833334,0.65999997,0.39473683,0.83025825,0.99999994,0.33591732,0.86567163,0.6140351,0.6530612,0.4991817,0.9135339,1.0,0.13496026,0.14,,,,
2022-01-04 10:00:00,0.3478261,0.0,0.35294133,0.0,0.25210083,0.6122449,0.8571428,0.39999995,0.4,0.41666666,0.8571429,0.6153846,0.95652175,0.33333337,0.33678758,0.93097925,0.5833334,0.64,0.39473683,0.7675276,0.99999994,0.33591732,0.77611935,0.5964913,0.6530612,0.4909984,0.49248126,1.0,0.1402928,0.14,,,,
2022-01-04 12:00:00,0.3478261,0.0,0.35294133,0.0,0.25210083,0.6122449,0.8571428,0.39999995,0.4,0.41666666,0.8571429,0.6153846,0.95652175,0.33333337,0.33678758,0.93097925,0.5833334,0.64,0.39473683,0.72250915,0.99999994,0.33591732,0.77611935,0.5964913,0.6530612,0.4909984,0.51842105,1.0,0.1393854,0.15,,,,
2022-01-04 14:00:00,0.3913043,0.0,0.23529413,0.0,0.25210083,0.6122449,0.9285714,0.39999995,0.4,0.3333333,0.92857146,0.6153846,1.0,0.66666675,0.33678758,0.96308184,0.6,0.65999997,0.41447368,0.51660514,0.99999994,0.33591732,0.86567163,0.64912283,0.67346936,0.507365,0.53007525,1.0,0.13505514,0.14,,,,
2022-01-04 16:00:00,0.3913043,0.0,0.23529413,0.0,0.25210083,0.6122449,0.9285714,0.39999995,0.4,0.3333333,0.92857146,0.6153846,1.0,0.33333337,0.33678758,0.96308184,0.6,0.65999997,0.41447368,0.51660514,0.99999994,0.33591732,0.86567163,0.64912283,0.67346936,0.507365,0.53007525,1.0,0.13975273,0.14,,,,
2022-01-04 18:00:00,0.3913043,0.0,0.23529413,0.0,0.25210083,0.6122449,0.9285714,0.39999995,0.4,0.3333333,0.92857146,0.6153846,1.0,0.33333337,0.33678758,0.96308184,0.6,0.65999997,0.41447368,0.94833946,0.99999994,0.33591732,0.86567163,0.64912283,0.67346936,0.507365,0.48496246,1.0,0.13919319,0.14,,,,
2022-01-04 20:00:00,0.3913043,0.0,0.23529413,0.0,0.25210083,0.6122449,0.9285714,0.39999995,0.4,0.3333333,0.92857146,0.6153846,1.0,0.33333337,0.33678758,0.96308184,0.6,0.65999997,0.41447368,0.9003689,0.99999994,0.33591732,0.86567163,0.64912283,0.67346936,0.507365,0.52969927,1.0,0.14414866,0.14,,,,
2022-01-05 00:00:00,0.3913043,0.0,0.23529413,0.0,0.25210083,0.6122449,0.9285714,0.39999995,0.4,0.3333333,0.92857146,0.6153846,1.0,0.33333337,0.33678758,0.96308184,0.6,0.65999997,0.41447368,0.49077487,0.99999994,0.33591732,0.86567163,0.64912283,0.67346936,0.507365,0.5112783,1.0,0.1358166,0.13,,,,
2022-01-05 02:00:00,0.3913043,0.0,0.4117648,0.12499997,0.25210083,0.6122449,0.9285714,0.39999995,0.4,0.25,1.0,0.6153846,1.0,0.33333337,0.33678758,0.94703054,0.55,0.62,0.40789473,0.501845,0.99999994,0.33591732,0.89552236,0.57894737,0.632653,0.507365,0.5075188,1.0,0.13943404,0.15,,,,
2022-01-05 04:00:00,0.3913043,0.0,0.4117648,0.12499997,0.25210083,0.6122449,0.9285714,0.39999995,0.4,0.25,1.0,0.6153846,1.0,0.33333337,0.33678758,0.94703054,0.55,0.62,0.40789473,0.6199261,0.99999994,0.33591732,0.89552236,0.57894737,0.632653,0.507365,0.75187975,1.0,0.12956692,0.14,,,,
