Date,BlockP,BlockT,C1P,C1T,C1L,C2P,C2T,C2interfacial_L,С2petrol_L,OH_T,OH_interfacial_L,OH_P,C3T,C3L,P1Tinput,P1Toutput,P1Pinput,P1Poutput,P1Тcoolant,P1Tgases,P1Рburner,P2Tinput,P2Toutput,P2Pinput,P2Poutput,P2Tcoolant,P2Tgases,P2Pburner,BEV1L,BEV1V_water,BEV1V_petrol,BEV1T_water,Water,Vlagomer
2023-02-25 06:00:00,0.35294116,0.33333334,0.5384613,0.2857141,0.1509434,0.7826087,0.50000006,0.33333334,0.6666667,0.7546012,0.6,1.0,0.8571428,0.0,0.41734415,0.86699504,0.096363634,0.8928572,0.87732923,0.4740768,0.0,0.4247312,0.8509615,0.8833333,0.875,0.85911167,0.47175846,0.0,0.52688175,0.52838254,0.0,0.0,0.3256156,0.11
2023-02-25 08:00:00,0.41176462,0.33333334,0.38461533,0.2857141,0.1509434,0.73913044,0.50000006,0.33333334,0.6666667,0.8159509,0.53333336,1.0,0.8571428,0.0,0.42547423,0.8423645,0.096363634,0.8928572,0.8586956,0.46251395,0.0,0.43010753,0.838141,0.8833333,0.875,0.8499234,0.46678507,0.0,0.6236559,0.631835,0.0,0.0,0.36564547,0.11
2023-02-25 10:00:00,0.2352942,0.33333334,0.4615383,0.2857141,0.1509434,0.73913044,0.50000006,0.33333334,0.6666667,0.7546012,0.33333334,1.0,0.8095238,0.0,0.4200542,0.86535305,0.096363634,0.8928572,0.87732923,0.94106674,1.0,0.4247312,0.83653843,0.8833333,0.875,0.8468605,0.46145648,0.0,0.7096774,0.7222155,0.0,0.0,0.26771158,0.08
2023-02-25 12:00:00,0.41176462,0.33333334,0.6153847,0.2857141,0.1509434,0.8260869,0.50000006,0.33333334,0.6666667,0.69325155,0.6,1.0,0.8095238,0.0,0.4200542,0.9162561,0.096363634,0.8928572,0.92391306,0.7120477,0.0,0.42204303,0.8301282,0.8833333,0.875,0.8422664,0.5101244,0.99999994,0.8172043,0.83130836,0.0,0.0,0.3864509,0.1
2023-02-25 14:00:00,0.35294116,0.33333334,0.5384613,0.2857141,0.1509434,0.7826087,0.4545455,0.33333334,0.6666667,0.8159509,0.6666667,1.0,0.8571428,0.0,0.42547423,0.8834154,0.096363634,0.8928572,0.90372676,0.95934355,1.0,0.43010753,0.8429487,0.8833333,0.875,0.8621745,0.47566605,0.0,0.9086021,0.9189355,0.0,0.0,0.35311604,0.09
2023-02-25 16:00:00,0.35294116,0.33333334,0.5384613,0.2857141,0.1509434,0.7826087,0.4545455,0.33333334,0.6666667,0.7546012,0.6,1.0,0.8571428,0.0,0.43631434,0.8752052,0.096363634,0.8928572,0.886646,0.9503916,1.0,0.4408602,0.88141024,0.8833333,0.875,0.8958652,0.49946716,0.0,0.118279606,0.10528353,0.0,0.0,0.35585836,0.1
2023-02-25 18:00:00,0.2352942,0.33333334,0.38461533,0.2857141,0.1509434,0.7826087,0.50000006,0.33333334,0.6666667,0.7546012,0.6,1.0,0.8571428,0.0,0.42547423,0.89655167,0.096363634,0.8928572,0.90683234,0.5020515,0.0,0.43010753,0.86217946,0.8833333,0.875,0.87442565,0.47566605,0.0,0.22580647,0.21071413,0.0,0.0,0.33316407,0.12
2023-02-25 20:00:00,0.29411766,0.33333334,0.5384613,0.2857141,0.1509434,0.8260869,0.50000006,0.33333334,0.6666667,0.7546012,0.6,1.0,0.8571428,0.0,0.43360433,0.8981937,0.099999994,0.9107143,0.9161491,0.52592313,0.0,0.43817204,0.8910256,0.9,0.91071427,0.9050535,0.5175844,0.0,0.30645165,0.293583,0.0,0.0,0.32907853,0.09
2023-02-26 00:00:00,0.35294116,0.33333334,0.6153847,0.2857141,0.2264151,0.8260869,0.54545456,0.33333334,0.6666667,0.69325155,0.40000004,1.0,0.8571428,0.0,0.42818427,0.8981937,0.099999994,0.92857146,0.90993786,0.50913835,0.0,0.43279573,0.83493584,0.9,0.91071427,0.84379774,0.46465367,0.0,0.50537634,0.5052862,0.0,0.0,0.24884892,0.12
2023-02-26 02:00:00,0.17647071,0.33333334,0.5384613,0.2857141,0.20754717,0.8260869,0.54545456,0.33333334,0.6666667,0.7546012,0.53333336,1.0,0.8571428,0.0,0.44715446,0.8801313,0.098181814,0.8928572,0.89440995,0.48153675,0.0,0.44623658,0.838141,0.8833333,0.89285713,0.85145473,0.46678507,0.0,0.60215056,0.60895246,0.0,0.0,0.24626929,0.1
2023-02-26 04:00:00,0.2352942,0.33333334,0.4615383,0.2857141,0.18867925,0.8260869,0.54545456,0.33333334,0.6666667,0.7546012,0.53333336,1.0,0.8571428,0.0,0.4308943,0.8801313,0.098181814,0.9107143,0.89440995,0.4811637,0.0,0.4354839,0.8605769,0.9,0.91071427,0.87136286,0.47566605,0.0,0.68817204,0.6998142,0.0,0.0,0.25599706,0.1
2023-02-26 06:00:00,0.35294116,0.33333334,0.6153847,0.2857141,0.1509434,0.8260869,0.54545456,0.33333334,0.6666667,0.69325155,0.6,1.0,0.8571428,0.0,0.4390244,0.87027913,0.098181814,0.8928572,0.878882,0.4677359,0.0,0.4408602,0.875,0.8833333,0.89285713,0.8805512,0.4838366,0.0,0.2634409,0.24906099,0.0,0.0,0.23920551,0.11
2023-02-26 08:00:00,0.29411766,0.33333334,0.4615383,0.2857141,0.1509434,0.8260869,0.50000006,0.33333334,0.6666667,0.69325155,0.6,1.0,0.8571428,0.0,0.39295393,0.89655167,0.098181814,0.8928572,0.90372676,0.49459156,0.0,0.4032258,0.84134614,0.8833333,0.89285713,0.85298616,0.8941386,0.99999994,0.3494624,0.3387198,0.0,0.0,0.26385647,0.08
2023-02-26 10:00:00,0.41176462,0.33333334,0.5384613,0.2857141,0.1509434,0.8260869,0.54545456,0.33333334,0.6666667,0.7546012,0.53333336,1.0,0.8571428,0.0,0.42547423,0.8866995,0.098181814,0.8928572,0.9021739,0.4916076,0.0,0.42741936,0.8397436,0.8833333,0.89285713,0.8545175,0.4728242,0.0,0.44086024,0.43602386,0.0,0.0,0.24207443,0.09
2023-02-26 12:00:00,0.35294116,0.33333334,0.5384613,0.2857141,0.1509434,0.8260869,0.4545455,0.33333334,0.6666667,0.69325155,0.6,1.0,0.8571428,0.0,0.43631434,0.91954017,0.098181814,0.8928572,0.9254658,0.67698616,0.0,0.4354839,0.90865386,0.8833333,0.89285713,0.9173047,0.591119,0.0,0.5322581,0.5341567,0.0,0.0,0.2517299,0.11
2023-02-26 14:00:00,0.11764693,0.33333334,0.23076937,0.2857141,0.1509434,0.73913044,0.50000006,0.33333334,0.6666667,0.69325155,0.6,1.0,0.8571428,0.0,0.41734415,0.90476185,0.098181814,0.8928572,0.91770184,0.9582244,1.0,0.4166667,0.8301282,0.8833333,0.89285713,0.84379774,0.46891654,0.0,0.60215056,0.60895246,0.0,0.0,0.24752295,0.1
2023-02-26 16:00:00,0.41176462,0.33333334,0.38461533,0.2857141,0.1509434,0.73913044,0.50000006,0.33333334,0.6666667,0.7546012,0.6,1.0,0.8571428,0.0,0.42818427,0.9014778,0.098181814,0.8928572,0.90993786,0.9571055,1.0,0.43010753,0.8557692,0.8833333,0.89285713,0.86983144,0.4763766,0.0,0.68817204,0.6998142,0.0,0.0,0.26024023,0.09
2023-02-26 18:00:00,0.2352942,0.33333334,0.38461533,0.2857141,0.1509434,0.73913044,0.4545455,0.33333334,0.6666667,0.63190186,0.6,1.0,0.8571428,0.0,0.42276424,0.909688,0.098181814,0.8928572,0.9161491,0.9451696,0.0,0.4247312,0.88141024,0.8833333,0.89285713,0.8882082,0.49378332,0.0,0.7741935,0.78831005,0.0,0.0,0.246649,0.1
2023-02-26 20:00:00,0.41176462,0.33333334,0.4615383,0.2857141,0.3018868,0.73913044,0.50000006,0.41666666,0.6666667,0.7546012,0.6666667,1.0,0.8571428,0.0,0.42276424,0.9178982,0.098181814,0.8928572,0.9223603,0.6956359,0.0,0.42741936,0.9070512,0.8666666,0.875,0.9142419,0.5577265,0.0,0.3387097,0.32738546,0.0,0.0,0.24375601,0.09
2023-02-27 00:00:00,0.41176462,0.33333334,0.6153847,0.2857141,0.16981132,0.7826087,0.50000006,0.33333334,0.6666667,0.7546012,0.53333336,1.0,0.8571428,0.0,0.42818427,0.8686371,0.098181814,0.8928572,0.8804348,0.9280119,1.0,0.43010753,0.86217946,0.8833333,0.875,0.87442565,0.47388986,0.0,0.49462366,0.49372467,0.0,0.0,0.33440933,0.11
2023-02-27 02:00:00,0.2352942,0.33333334,0.5384613,0.2857141,0.1509434,0.73913044,0.50000006,0.33333334,0.6666667,0.69325155,0.53333336,1.0,0.8571428,0.0,0.42818427,0.88998353,0.09454545,0.8750001,0.9006211,0.9406937,1.0,0.43010753,0.88782054,0.84999996,0.875,0.89739656,0.49875665,0.0,0.5752688,0.5802558,0.0,0.0,0.3218799,0.1
2023-02-27 04:00:00,0.2352942,0.33333334,0.5384613,0.2857141,0.1509434,0.73913044,0.50000006,0.33333334,0.6666667,0.69325155,0.53333336,1.0,0.8571428,0.0,0.42818427,0.86535305,0.096363634,0.8928572,0.8726708,0.91607606,1.0,0.4247312,0.8333333,0.8833333,0.875,0.84379774,0.8095915,0.99999994,0.6666667,0.6772792,0.0,0.0,0.3132751,0.12
