Дата,Блок манифольда|P бм  |кгс/см²,Блок манифольда|t жидкости| °С,С-1|P сеп. |кгс/см²,С-1|t жидкости |°С,С-1|L жидкости| см,С-2|P сеп. |кгс/см²,С-2|t жидкости|°С,С-2|L межфазный|см,С-2|L нефти|см,ОН-1|t жидкости|°С,ОН-1|L межфазный|см,ОН-1|P отс. |кгс/см²,С-3|t жидкости|°С,С-3|L нефти|см,П-1|Т нефти на входе|°С,П-1|Т нефти на выходе|°С,П-1|Р нефти на входе|кгс/см²,П-1|Р нефти на выходе|кгс/см²,П-1|Т теплоно-сителя|°С,П-1|Т дымовых газов|°С,П-1|Р на горелку|кгс/см2,П-2|Т нефти на входе|°С,П-2|Т нефти на выходе|°С,П-2|Р нефти на входе|кгс/см²,П-2|Р нефти на выходе|кгс/см²,П-2|Т теплоно-сителя|°С,П-2|Т дымовых газов|°С,П-2|Р на горелку|кгс/см3,БЕВ-1|L воды|см,БЕВ-1|V воды|м3,БЕВ-1|V нефти,БЕВ-1|t воды
2023-01-08 06:00:00,6.3,15,5.8,14,68,4.5,58,63,73,1.1,52,53,30,9,28.4,57.2,4.9,4.6,59.7,113.8,0.2,29,57.9,4.9,4.6,59.3,93.2,0.2,220,79.902,0,33
2023-01-08 08:00:00,6.4,15,6,14,73,4.6,57,63,73,1.1,51,47,30,9,29.7,58.7,4.9,4.6,60.2,117.5,0.2,29.5,57.8,4.9,4.6,59.2,91.7,0.2,150,50.786,0,33
2023-01-08 10:00:00,6.4,15,6,14,71,4.6,56,63,73,1.1,51,47,30,9,27.6,59.4,4.9,4.6,61.8,134.6,0.2,24.9,57.9,4.9,4.6,59.5,90.9,0.2,90,25.567,0,33
2023-01-08 12:00:00,6.4,15,6,14,65,4.5,56,63,73,1.1,52,47,31,9,29.3,57.1,4.9,4.6,60,263.6,0.2,29.7,57.4,4.9,4.6,59.1,91.1,0.2,107,32.462,0,33
2023-01-08 14:00:00,6.4,15,6,14,67,4.6,57,63,73,1.1,52,47,31,9,30.6,55.1,4.9,4.6,57.8,111.3,0.2,30.6,58,4.9,4.6,59.8,95.6,0.2,118,37.064,0,33
2023-01-08 16:00:00,6.4,15,5.9,14,58,4.4,57,63,73,1.1,52,47,31,9,29.6,55.7,4.9,4.6,58.1,104.1,0.2,29.5,58.3,4.9,4.6,59.8,91,0.2,132,43.027,0,33
2023-01-08 18:00:00,6.4,15,5.9,14,66,4.4,57,63,73,1.1,52,47,31,9,20.9,57.6,4.9,4.6,60.1,109.7,0.2,22.8,58.6,4.9,4.6,60.1,92,0.2,145,48.626,0,33
2023-01-08 20:00:00,6.4,15,5.9,14,69,4.4,57,63,73,1.1,52,47,31,9,29,54.8,4.9,4.6,57.2,105,0.2,29.6,59,4.9,4.6,60.5,93,0.2,156,53.379,0,33
2023-01-09 00:00:00,6.4,15,6.1,14,68,4.3,58,63,73,1.1,52,46,31,9,29,57.5,4.9,4.6,60.2,117.2,0.2,30,58.6,4.9,4.7,60.1,94.7,0.2,177,62.391,0,33
2023-01-09 02:00:00,6.3,15,6,14,66,4.1,43,64,73,1,41,53,24,9,28,59,4.7,4.9,61.6,146.9,0.2,23.8,59,4.9,4.7,60.3,95.3,0.2,192,68.697,0,33
2023-01-09 04:00:00,6.3,15,5.9,13.8,65,4.1,56,64,74,0.07,52,46,24,9,30,58.1,4.8,4.6,61.2,125.8,0.2,31,58.5,4.8,4.5,60,95.3,0.2,204,73.609,0,33
2023-01-09 06:00:00,6.3,15,5.9,13.8,60,4.1,56,64,74,0.07,52,46,24,9,29.4,55,4.8,4.6,57.5,109.7,0.2,27.9,58.7,4.9,4.6,60,95.4,0.2,218,79.134,0,33
2023-01-09 08:00:00,6.3,15,6,13.8,60,4.2,57,64,75,0.1,51,46,30,9,29,58.8,4.9,4.7,60.1,268.1,0.2,29.2,57.5,4.9,4.7,59.7,96.1,0.2,140,46.468,0,33
