,Место отбора,"Сод. Cl соед., мг/дм3",Дата
226,АСН-6,62,2022-02-04 11:15:00
227,КСУ-БЕН-3,160.6,2022-02-04 16:00:00
228,КСУ-БЕН-6,158.1,2022-02-04 22:00:00
229,КСУ-БЕН-3,155.6,2022-02-05 04:00:00
230,КСУ-БЕН-2,128.7,2022-02-05 10:00:00
231,АСН-6,85.2,2022-02-05 15:20:00
232,КСУ-БЕН-5,160.1,2022-02-05 16:00:00
233,КСУ-БЕН-3,169.7,2022-02-05 22:00:00
234,КСУ-БЕН-5,176.5,2022-02-06 04:00:00
235,КСУ-БЕН-2,151.8,2022-02-06 10:00:00
236,АСН-6,73.1,2022-02-06 10:10:00
237,АСН-6,98.1,2022-02-06 13:25:00
238,КСУ-БЕН-4,141.3,2022-02-06 16:00:00
239,КСУ-БЕН-1,144.6,2022-02-06 22:00:00
240,КСУ-БЕН-4,185.8,2022-02-07 04:00:00
241,АСН-6,51.6,2022-02-07 07:30:00
242,КСУ-БЕН-6,151.4,2022-02-07 10:00:00
243,КСУ-БЕН-3,141,2022-02-07 16:00:00
244,КСУ-БЕН-6,151.1,2022-02-07 22:00:00
245,КСУ-БЕН-3,165,2022-02-08 04:00:00
246,КСУ-БЕН-6,230.9,2022-02-08 10:00:00
247,КСУ-БЕН-1,203.2,2022-02-08 12:30:00
248,АСН-6,46,2022-02-08 14:20:00
249,КСУ-БЕН-1,199.6,2022-02-08 16:00:00
250,КСУ-БЕН-6,131.8,2022-02-08 22:00:00
251,КСУ БЕН-3,145.6,2022-02-09 04:00:00
252,АСН-6,65,2022-02-09 08:10:00
253,КСУ БЕН-6,159.1,2022-02-09 10:00:00
254,КСУ БЕН-4,289.4,2022-02-09 16:00:00
255,КСУ БЕН-6,165.9,2022-02-09 22:00:00
256,КСУ БЕН-4,152.9,2022-02-10 04:00:00
257,АСН-6,75.1,2022-02-10 08:30:00
258,КСУ БЕН-6,172.7,2022-02-10 10:00:00
259,КСУ БЕН-4,181.2,2022-02-10 16:00:00
260,КСУ БЕН-1,165.6,2022-02-10 22:00:00
261,КСУ БЕН-4,158.7,2022-02-11 04:00:00
262,АСН-6,72.5,2022-02-11 08:05:00
263,КСУ-БЕН-2,81.5,2022-02-11 10:00:00
264,КСУ БЕН-5,140.4,2022-02-11 16:00:00
265,КСУ-БЕН-2,80.8,2022-02-11 22:00:00
266,КСУ БЕН-5,89.3,2022-02-12 04:00:00
267,КСУ БЕН-3,155.5,2022-02-12 10:00:00
268,АСН-6,98.3,2022-02-12 14:50:00
269,КСУ-БЕН-6,172.8,2022-02-12 16:00:00
270,КСУ БЕН-2,144.4,2022-02-12 22:00:00
271,КСУ БЕН-6,163.5,2022-02-13 04:00:00
272,КСУ БЕН-3,168.2,2022-02-13 10:00:00
273,АСН-5,93.3,2022-02-13 14:20:00
274,КСУ БЕН-6,155.7,2022-02-13 16:00:00
275,КСУ БЕН-3,186,2022-02-13 22:00:00
276,КСУ БЕН-6,165.7,2022-02-14 04:00:00
277,КСУ БЕН-4,87.2,2022-02-14 10:00:00
278,АСН-5,26.4,2022-02-14 11:00:00
279,КСУ-БЕН-2,87,2022-02-14 16:00:00
280,КСУ БЕН-4,177.9,2022-02-14 22:00:00
281,КСУ БЕН-1,163.1,2022-02-15 04:00:00
282,АСН-5,70.7,2022-02-15 08:30:00
283,КСУ БЕН-5,154.9,2022-02-15 10:00:00
284,КСУ БЕН-5,157.3,2022-02-15 22:00:00
285,КСУ БЕН-2,134.1,2022-02-16 04:00:00
286,АСН-5,121,2022-02-16 07:15:00
287,КСУ БЕН-6,146.2,2022-02-16 10:00:00
288,КСУ БЕН-3,161.1,2022-02-16 16:00:00
289,КСУ БЕН-6,89.4,2022-02-16 22:00:00
290,КСУ БЕН-3,158.6,2022-02-17 04:00:00
291,АСН-5,74.8,2022-02-17 07:45:00
292,КСУ БЕН-6,194.6,2022-02-17 10:00:00
293,КСУ БЕН-4,169.1,2022-02-17 16:00:00
294,КСУ БЕН-6,160,2022-02-17 22:00:00
295,КСУ БЕН-6,125.5,2022-02-18 04:00:00
296,АСН-5,88.4,2022-02-18 08:00:00
297,КСУ БЕН-3,137,2022-02-18 10:00:00
298,КСУ БЕН-6,153,2022-02-18 16:00:00
299,АСН-5,59.4,2022-02-18 16:50:00
300,КСУ БЕН-3,124,2022-02-18 22:00:00
301,КСУ БЕН-5,99.9,2022-02-19 04:00:00
302,КСУ БЕН-2,79.7,2022-02-19 10:00:00
303,АСН-5,77.2,2022-02-19 10:45:00
304,КСУ БЕН-4,74.5,2022-02-19 16:00:00
305,КСУ БЕН-1,91.6,2022-02-19 22:00:00
306,КСУ БЕН-4,144.1,2022-02-20 04:00:00
307,АСН-5,80.5,2022-02-20 08:25:00
308,КСУ БЕН-1,178.6,2022-02-20 10:00:00
309,КСУ БЕН-4,154.4,2022-02-20 16:00:00
310,КСУ БЕН-1,145.6,2022-02-20 22:00:00
311,КСУ БЕН-4,167.2,2022-02-21 04:00:00
312,АСН-5,99.4,2022-02-21 08:25:00
313,КСУ БЕН-1,178.2,2022-02-21 10:00:00
314,КСУ БЕН-5,165.7,2022-02-21 16:00:00
315,КСУ БЕН-3,145.2,2022-02-21 22:00:00
316,КСУ БЕН-6,176.8,2022-02-22 04:00:00
317,АСН-5,93.9,2022-02-22 08:50:00
318,КСУ БЕН-4,152.1,2022-02-22 10:00:00
319,КСУ БЕН-1,129.2,2022-02-22 16:00:00
