,Место отбора проб,"Сод. Cl соед., мг/дм3",Дата
2316,БМ,2448.7,2022-08-12 06:00:00
2317,АСН-2,55.4,2022-08-12 08:15:00
2318,КСУБЕН-3,78.7,2022-08-12 10:00:00
2319,КСУ БЕН-2,124.8,2022-08-12 16:00:00
2321,АСН 1-6,53.7,2022-08-12 22:00:00
2323,КСУ,79.9,2022-08-12 23:00:00
2324,КСУ БЕН-2,104.3,2022-08-13 04:00:00
2325,БМ,2988.2,2022-08-13 06:00:00
2326,АСН-2,39.6,2022-08-13 08:20:00
2327,КСУ БЕН-2,57.3,2022-08-13 10:00:00
2328,БМ, ,2022-08-13 11:00:00
2329,КСУ БЕН-2,80.3,2022-08-13 16:00:00
2330,БМ, ,2022-08-13 17:00:00
2332,АСН 1-6,21.9,2022-08-13 22:00:00
2334,КСУ СУТ,54.5,2022-08-13 23:00:00
2335,КСУ БЕН-2,83.5,2022-08-14 04:00:00
2336,БМ,3648.5,2022-08-14 06:00:00
2337,АСН-3,20.8,2022-08-14 08:10:00
2338,КСУ БЕН-2,70.7,2022-08-14 10:00:00
2339,КСУ БЕН-1,79.9,2022-08-14 16:00:00
2341,АСН 1-6,29.6,2022-08-14 22:00:00
2344,АСН-2,61.3,2022-08-14 23:40:00
2345,КСУ,31.2,2022-08-14 23:00:00
2346,КСУ БЕН-7,99.5,2022-08-15 01:00:00
2347,КСУ БЕН-1,72.7,2022-08-15 04:00:00
2348,БМ,2125.2,2022-08-15 06:00:00
2349,АСН-2,47.2,2022-08-15 08:10:00
2350,КСУ БЕН-1,96.8,2022-08-15 10:00:00
2351,КСУ БЕН-9,69.2,2022-08-15 16:00:00
2353,АСН 1-6,32.2,2022-08-15 22:00:00
2355,КСУ СУТ,22.3,2022-08-15 23:00:00
2356,КСУ-БЕН-8,108.4,2022-08-16 04:00:00
2357,БМ,3473.8,2022-08-16 06:00:00
2358,АСН-2,52.1,2022-08-16 08:20:00
2359,КСУ БЕН-9,69.3,2022-08-16 10:00:00
2360,КСУ БЕН-8,74.3,2022-08-16 16:00:00
2362,АСН 1-6,44.2,2022-08-16 22:00:00
2364,КСУ СУТ,96.2,2022-08-16 23:00:00
2365,АСН-2,42.1,2022-08-17 00:40:00
2366,КСУ БЕН-9,107.9,2022-08-17 04:00:00
2367,БМ,3299.6,2022-08-17 06:00:00
2368,АСН-2,17.6,2022-08-17 08:10:00
2369,КСУ БЕН-9,71.9,2022-08-17 10:00:00
2370,КСУ БЕН-8,71,2022-08-17 16:00:00
2372,АСН 1-6,30.8,2022-08-17 22:00:00
2374,КСУ СУТ,75.7,2022-08-17 23:00:00
2375,АСН-2,87.7,2022-08-18 00:10:00
2376,КСУ БЕН-7,105.7,2022-08-18 04:00:00
2377,БМ,2999.6,2022-08-18 06:00:00
2378,АСН-2,69.8,2022-08-18 08:20:00
2379,КСУ БЕН-6,85.2,2022-08-18 10:00:00
2380,КСУ БЕН-5,81.2,2022-08-18 16:00:00
2382,АСН 1-6,46.6,2022-08-18 22:00:00
2384,АСН-2,37.9,2022-08-18 23:10:00
2385,КСУ СУТ,39.2,2022-08-18 23:00:00
2386,КСУ БЕН-3,56.1,2022-08-19 04:00:00
2387,БМ,2843.8,2022-08-19 06:00:00
2388,АСН-2,39.8,2022-08-19 08:10:00
2389,КСУ БЕН-4,65.9,2022-08-19 10:00:00
2390,КСУ БЕН-3,82.7,2022-08-19 16:00:00
2392,АСН 1-6,32.6,2022-08-19 22:00:00
2394,КСУ СУТ,26.1,2022-08-19 23:00:00
2395,КСУ БЕН-4,58,2022-08-20 04:00:00
2396,БМ,2669.2,2022-08-20 06:00:00
2397,АСН-2,44.7,2022-08-20 08:15:00
2398,КСУ БЕН-3,60.5,2022-08-20 10:00:00
2399,КСУ БЕН-2,49,2022-08-20 16:00:00
2401,АСН 1-6,59,2022-08-20 22:00:00
2403,КСУ СУТ,70.2,2022-08-20 23:00:00
2404,КСУ БЕН-2,116.9,2022-08-21 04:00:00
2405,БМ,2157.9,2022-08-21 06:00:00
2406,АСН-2,44.3,2022-08-21 08:15:00
2407,КСУ БЕН-1,64.5,2022-08-21 10:00:00
2408,КСУ БЕН-9,83.2,2022-08-21 16:00:00
2410,АСН 1-6,28.9,2022-08-21 22:00:00
2412,КСУ СУТ,53.4,2022-08-21 23:00:00
2413,КСУ БЕН-2,90.4,2022-08-22 04:00:00
2414,БМ,2720.5,2022-08-22 06:00:00
2415,АСН-2,36.1,2022-08-22 08:15:00
2416,КСУ БЕН-9,101.7,2022-08-22 10:00:00
2417,КСУ БЕН-8,83.2,2022-08-22 16:00:00
2419,АСН 1-6,42.3,2022-08-22 22:00:00
2421,КСУ СУТ,45.1,2022-08-22 23:00:00
2422,КСУ БЕН-8,75.5,2022-08-23 04:00:00
2423,БМ,3617.8,2022-08-23 06:00:00
2424,КСУ БЕН-8,88,2022-08-23 10:00:00
2425,КСУ БЕН-8,80.6,2022-08-23 16:00:00
2427,АСН 1-6,45,2022-08-23 22:00:00
2429,КСУ СУТ,35.3,2022-08-23 23:00:00
2430,КСУ БЕН-7,163.5,2022-08-24 04:00:00
2431,БМ,4127.5,2022-08-24 06:00:00
2432,КСУ БЕН-9,68.9,2022-08-24 10:00:00
2433,БМ, ,2022-08-24 11:00:00
2434,КСУ БЕН-3,71.9,2022-08-24 16:00:00
2436,АСН 1-6,26.1,2022-08-24 22:00:00
2438,КСУ СУТ,49.5,2022-08-24 23:00:00
2439,КСУ БЕН-3,83.2,2022-08-25 04:00:00
2440,БМ,2565.5,2022-08-25 06:00:00
2441,КСУ БЕН-2,64.5,2022-08-25 10:00:00
2442,АСН-2,42.6,2022-08-25 14:10:00
2443,КСУ БЕН-6,59.8,2022-08-25 16:00:00
2445,АСН 1-6,23.9,2022-08-25 22:00:00
2447,КСУ СУТ,49.5,2022-08-25 23:00:00
2448,АСН-3,32.1,2022-08-26 00:30:00
2449,КСУ БЕН-6,81.3,2022-08-26 04:00:00
2450,БМ,2983.6,2022-08-26 06:00:00
2451,АСН-3,30.8,2022-08-26 08:10:00
2452,КСУ БЕН-8,58,2022-08-26 10:00:00
2453,КСУ БЕН-6,69,2022-08-26 16:00:00
2455,АСН 1-6,15.9,2022-08-26 22:00:00
2457,КСУ СУТ,30.5,2022-08-26 23:00:00
2458,АСН-3,56.6,2022-08-27 00:22:00
2459,КСУ БЕН-5,217.4,2022-08-27 04:00:00
2460,БМ,3014.9,2022-08-27 04:30:00
2461,КСУ БЕН-8,203.6,2022-08-27 06:00:00
2462,АСН-2,93.6,2022-08-27 06:50:00
2463,АСН-2,80.1,2022-08-27 08:35:00
2464,КСУ БЕН-6,65.2,2022-08-27 10:00:00
2465,КСУ БЕН-2,163.5,2022-08-27 16:00:00
2467,АСН 1-6,61.2,2022-08-27 22:00:00
2469,КСУ СУТ,45.1,2022-08-27 23:00:00
2470,АСН-2,51.5,2022-08-28 00:05:00
2471,КСУ БЕН-1,247.3,2022-08-28 04:00:00
2473,КСУ БЕН-4,115.6,2022-08-28 06:00:00
2474,АСН-2,58.5,2022-08-28 08:20:00
2475,КСУ БЕН-1,71.7,2022-08-28 10:00:00
2476,КСУ БЕН-9,50.6,2022-08-28 16:00:00
2478,АСН 1-6,32,2022-08-28 22:00:00
2480,КСУ СУТ,104.8,2022-08-28 23:00:00
2481,АСН-3,41.9,2022-08-29 00:05:00
2482,КСУ БЕН-9,159.3,2022-08-29 04:00:00
2483,БМ,3638.9,2022-08-29 06:00:00
2484,АСН-2,49.1,2022-08-29 08:20:00
2485,КСУ БЕН-1,82.1,2022-08-29 10:00:00
2486,КСУ БЕН-1,62.6,2022-08-29 16:00:00
2488,АСН 1-6,26.5,2022-08-29 22:00:00
2490,КСУ СУТ,24.6,2022-08-29 23:00:00
2491,КСУ БЕН-9,70.7,2022-08-30 04:00:00
2492,БМ,3236.1,2022-08-30 06:00:00
2493,АСН-2,35,2022-08-30 08:20:00
2494,КСУ БЕН-9,67.4,2022-08-30 10:00:00
2495,КСУ БЕН-4,84.3,2022-08-30 16:00:00
2497,АСН 1-6,54.8,2022-08-30 22:00:00
2499,КСУ СУТ,36.3,2022-08-30 23:00:00
2500,КСУ БЕН-4,108.7,2022-08-31 04:00:00
2501,БМ,3265.2,2022-08-31 06:00:00
2502,АСН-2,41.1,2022-08-31 08:10:00
2503,КСУ БЕН-4,99.6,2022-08-31 10:00:00
2504,КСУ БЕН-4,79.5,2022-08-31 16:00:00
2506,АСН 1-6,24.4,2022-08-31 22:00:00
2507,КСУ СУТ,22.8,2022-08-31 23:00:00
2508,КСУ БЕН-4,72.5,2022-09-01 04:00:00
2509,БМ,3220.5,2022-09-01 06:00:00
2510,АСН-3,43.8,2022-09-01 08:20:00
2511,КСУ БЕН-3,57.4,2022-09-01 10:00:00
2512,КСУ БЕН-4,66.7,2022-09-01 16:00:00
2514,АСН 1-6,27.6,2022-09-01 22:00:00
2516,КСУ СУТ,31.4,2022-09-01 23:00:00
2517,КСУ БЕН-4,158.5,2022-09-02 04:00:00
2518,БМ,2972.7,2022-09-02 06:00:00
2519,КСУ БЕН-7,91.9,2022-09-02 07:00:00
2520,АСН-2,49.6,2022-09-02 08:10:00
2521,КСУ БЕН-2,59.4,2022-09-02 10:00:00
2522,КСУ БЕН-3,60.8,2022-09-02 16:00:00
2524,АСН 1-6,40.6,2022-09-02 22:00:00
2526,КСУ СУТ,71,2022-09-02 23:00:00
2527,КСУ БЕН-2,80.6,2022-09-03 04:00:00
2528,БМ,3092.8,2022-09-03 06:00:00
2529,АСН-2,40.4,2022-09-03 08:20:00
2530,КСУ БЕН-1,113.9,2022-09-03 10:00:00
2531,КСУ БЕН-1,152.6,2022-09-03 16:00:00
2533,АСН 1-6,39.5,2022-09-03 22:00:00
2535,КСУ СУТ,61.4,2022-09-03 23:00:00
2536,АСН-3,64,2022-09-04 00:10:00
2537,КСУ БЕН-9,223.8,2022-09-04 04:00:00
2538,БМ,3278,2022-09-04 06:00:00
2539,КСУ БЕН-4,151.8,2022-09-04 07:00:00
2540,АСН-2,40.7,2022-09-04 08:15:00
2541,КСУ БЕН-9,149.4,2022-09-04 10:00:00
2542,КСУ БЕН-5,71.3,2022-09-04 13:00:00
2543,КСУ БЕН-3,110.8,2022-09-04 16:00:00
2545,АСН 1-6,79.3,2022-09-04 22:00:00
2547,КСУ СУТ,64,2022-09-04 23:00:00
2548,АСН-2,59.4,2022-09-05 00:05:00
2549,КСУ БЕН-2,84.1,2022-09-05 04:00:00
2550,БМ,3260.9,2022-09-05 06:00:00
2551,АСН-2,56.6,2022-09-05 08:05:00
2552,КСУ БЕН-2,58.9,2022-09-05 10:00:00
2553,КСУ БЕН-1,76.1,2022-09-05 16:00:00
2555,АСН 1-6,40.8,2022-09-05 22:00:00
2557,КСУ СУТ,37.9,2022-09-05 23:00:00
2566,КСУ СУТ,104.1,
2567,КСУ БЕН-9,89.8,2022-09-06 04:00:00
2568,БМ,2946.4,2022-09-06 06:00:00
2569,АСН-2,36.2,2022-09-06 08:15:00
2570,КСУ БЕН-9,94.3,2022-09-06 10:00:00
2571,КСУ БЕН-9,77.2,2022-09-06 16:00:00
2573,АСН 1-6,40.4,2022-09-06 22:00:00
2575,КСУ СУТ,32.9,2022-09-06 23:00:00
2576,КСУ БЕН-9,133.1,2022-09-08 04:00:00
2577,БМ,3298.4,2022-09-08 06:00:00
2578,АСН-2,77.2,2022-09-08 07:15:00
2579,КСУ БЕН-8,122.5,2022-09-08 10:00:00
2580,КСУ БЕН-8,96.8,2022-09-08 16:00:00
2582,АСН 1-6,44.6,2022-09-08 22:00:00
2584,КСУ СУТ,50.5,2022-09-08 23:00:00
2585,АСН-2,53.6,2022-09-09 00:10:00
2586,КСУ БЕН-8,150.8,2022-09-09 04:00:00
2587,БМ,3002.2,2022-09-09 06:00:00
2588,АСН-3,21.4,2022-09-09 08:10:00
2589,КСУ-БЕН8,85.5,2022-09-09 10:00:00
2590,КСУ-БЕН9,99.3,2022-09-09 16:00:00
2592,АСН 1-6,51.5,2022-09-09 22:00:00
2594,КСУ СУТ,40.4,2022-09-09 23:00:00
2595,КСУ БЕН-9,145.8,2022-09-10 04:00:00
2596,БМ,3628.3,2022-09-10 06:00:00
2597,АСН-1,28.6,2022-09-10 08:15:00
2598,КСУ-БЕН-8,89.9,2022-09-10 10:00:00
2599,АСН-2,82.1,2022-09-10 14:10:00
2600,КСУ-БЕН-9,130.1,2022-09-10 16:00:00
2601,КСУ-БЕН-5,131,2022-09-10 19:00:00
2603,АСН 1-6,89.2,2022-09-10 22:00:00
2605,КСУ БЕН-3,152.7,2022-09-10 23:40:00
2606,КСУ СУТ,48.5,2022-09-10 23:00:00
2607,АСН-2,98.9,2022-09-11 00:15:00
2608,АСН-2,88.2,2022-09-11 01:25:00
2609,КСУ БЕН-9,102.8,2022-09-11 04:00:00
2610,БМ,3448.6,2022-09-11 06:00:00
2611,АСН-3,42.4,2022-09-11 08:15:00
2612,КСУ БЕН-9,83,2022-09-11 10:00:00
2613,КСУ БЕН-9,76.3,2022-09-11 16:00:00
2615,АСН 1-6,51,2022-09-11 22:00:00
2617,КСУ СУТ,48.5,2022-09-11 23:00:00
2618,АСН-2,46.8,2022-09-12 00:10:00
2619,КСУ БЕН-8,76.7,2022-09-12 04:00:00
2620,БМ,3235.3,2022-09-12 06:00:00
2621,АСН-3,57.3,2022-09-12 08:10:00
2622,КСУ-БЕН-7,111.4,2022-09-12 10:00:00
2623,АСН-3,71.5,2022-09-12 15:10:00
2624,КСУ-БЕН-7,133.2,2022-09-12 16:00:00
2626,АСН 1-6,51.6,2022-09-12 22:00:00
2628,КСУ СУТ,36.6,2022-09-12 23:00:00
2629,АСН-2,34.4,2022-09-13 00:10:00
2630,КСУ БЕН-7,80.4,2022-09-13 04:00:00
2631,БМ,2421.4,2022-09-13 06:00:00
2632,АСН-2,53.4,2022-09-13 08:05:00
2633,КСУ-БЕН7,82.1,2022-09-13 10:00:00
2634,АСН-3,40.1,2022-09-13 14:10:00
2635,КСУ БЕН-7,102.7,2022-09-13 16:00:00
2637,АСН 1-6,96.8,2022-09-13 22:00:00
2640,КСУ СУТ,58,2022-09-13 23:00:00
2641,АСН-3,92.4,2022-09-14 00:35:00
2642,КСУ БЕН-2,102.2,2022-09-14 01:00:00
2643,АСН-2,54.4,2022-09-14 01:30:00
2644,КСУ БЕН-7,148.6,2022-09-14 04:00:00
2645,БМ,3372.9,2022-09-14 06:00:00
2646,АСН-3,76.2,2022-09-14 07:25:00
2647,КСУ БЕН-7,119.3,2022-09-14 10:00:00
2648,КСУ БЕН-7,115.3,2022-09-14 16:00:00
2650,АСН 1-6,49.9,2022-09-14 22:00:00
2652,КСУ СУТ,81.1,2022-09-14 23:00:00
2653,АСН-2,44,2022-09-15 00:10:00
2654,АСН-3,58.9,2022-09-15 01:20:00
2655,БМ,4313,2022-09-15 03:00:00
2656,КСУ БЕН-7,160.1,2022-09-15 04:00:00
2657,БМ,4535.4,2022-09-15 06:00:00
2658,КСУ БЕН-9,88.5,2022-09-15 10:00:00
2659,АСН-2,31.6,2022-09-15 13:45:00
2660,КСУ БЕН-9,122.4,2022-09-15 16:00:00
2663,АСН 1-6,34.1,2022-09-15 22:00:00
2664,КСУ СУТ,73.2,2022-09-15 23:00:00
2665,АСН-2,56.8,2022-09-16 00:35:00
2666,КСУ БЕН-4,119.8,2022-09-16 04:00:00
2667,БМ,3255.4,2022-09-16 06:00:00
2668,АСН-4,76.3,2022-09-16 08:05:00
2669,КСУ-БЕН-6,136.1,2022-09-16 10:00:00
2670,КСУ-БЕН-8,46.9,2022-09-16 16:00:00
2671,БМ,4136.4,2022-09-16 17:00:00
2673,АСН 1-6,61.3,2022-09-16 22:00:00
2675,КСУ СУТ,52.8,2022-09-16 23:00:00
2676,АСН-2,79.8,2022-09-17 00:10:00
2677,АСН-2,52.7,2022-09-17 02:15:00
2678,КСУ БЕН-2,90.8,2022-09-17 04:00:00
2679,БМ,3440.7,2022-09-17 06:00:00
2680,АСН-2,50.2,2022-09-17 08:15:00
2681,КСУ БЕН-3,103.3,2022-09-17 10:00:00
2682,КСУ БЕН-3,95.2,2022-09-17 16:00:00
2684,АСН 1-6,87.9,2022-09-17 22:00:00
2686,КСУ СУТ,79.6,2022-09-17 23:00:00
2687,АСН-3,98,2022-09-18 00:10:00
2688,КСУ БЕН-6,92.6,2022-09-18 04:00:00
2689,БМ,3718,2022-09-18 06:00:00
2690,АСН-3,84.8,2022-09-18 08:10:00
2691,КСУ БЕН-7,86.9,2022-09-18 10:00:00
2692,КСУ БЕН-9,96.3,2022-09-18 16:00:00
2694,КСУ БЕН-3,75.3,2022-09-18 22:00:00
2696,КСУ СУТ,57.3,2022-09-18 23:00:00
2697,КСУ БЕН-5,85.7,2022-09-19 04:00:00
2698,БМ,3493.4,2022-09-19 06:00:00
2699,АСН-2,39.6,2022-09-19 08:05:00
2700,КСУ БЕН-9,70.1,2022-09-19 10:00:00
2701,КСУ-БЕН9,81.5,2022-09-19 16:00:00
2703,КСУ БЕН-2,110.5,2022-09-19 22:00:00
2705,КСУ СУТ,43.3,2022-09-19 23:00:00
2706,КСУ БЕН-5,97.3,2022-09-20 04:00:00
2707,БМ,3460.9,2022-09-20 06:00:00
2708,АСН-2,87.7,2022-09-20 08:15:00
2709,КСУ БЕН-8,125.8,2022-09-20 10:00:00
2710,КСУ БЕН-4,102.1,2022-09-20 14:00:00
2711,КСУ БЕН-7,109.8,2022-09-20 16:00:00
2712,КСУ БЕН-4,92.7,2022-09-20 19:30:00
2713,АСН 1-6,38.3,2022-09-20 22:00:00
2715,КСУ СУТ,31.5,2022-09-20 23:00:00
2716,АСН-3,48.2,2022-09-21 00:05:00
2717,АСН-2,97.4,2022-09-21 00:35:00
2718,АСН-2,94.1,2022-09-21 02:40:00
2719,КСУ БЕН-1,135.9,2022-09-21 04:00:00
2720,БМ,3656.1,2022-09-21 06:00:00
2721,АСН-2,53,2022-09-21 08:05:00
2722,КСУ-БЕН2,112.1,2022-09-21 10:00:00
2723,КСУ-БЕН-4,121.2,2022-09-21 16:00:00
2725,АСН 1-6,68.2,2022-09-21 22:00:00
2727,КСУ СУТ,41,2022-09-21 23:00:00
2728,АСН-2,170.6,2022-09-22 00:05:00
2729,КСУ БЕН-9,221.7,2022-09-22 00:40:00
2730,БМ,3308.5,2022-09-22 01:50:00
2731,КСУ БЕН-5,159.4,2022-09-22 03:00:00
2732,КСУ БЕН-8,83.4,2022-09-22 05:00:00
2733,АСН-2,80.1,2022-09-22 07:50:00
2734,АСН-1,81.8,2022-09-22 08:45:00
2735,КСУ БЕН-2,143.1,2022-09-22 10:00:00
2736,АСН-2,61.3,2022-09-22 14:55:00
2737,КСУ БЕН-5,86.4,2022-09-22 16:00:00
2739,КСУ БЕН-6,95.7,2022-09-22 22:00:00
2741,КСУ СУТ,67,2022-09-22 23:00:00
2742,АСН-2,65.5,2022-09-23 01:20:00
2743,КСУ БЕН-7,130.9,2022-09-23 04:00:00
2744,БМ,3212.1,2022-09-23 06:00:00
2745,АСН-1,84.8,2022-09-23 08:05:00
2746,КСУ БЕН-1,177.2,2022-09-23 10:00:00
2747,АСН-2,79.4,2022-09-23 13:30:00
2748,КСУ БЕН-8,436.5,2022-09-23 16:00:00
2750,БМ,4094.1,2022-09-23 18:00:00
2751,КСУ БЕН-2,178.8,2022-09-23 18:30:00
2752,АСН-2,159.1,2022-09-23 18:40:00
2754,КСУ БЕН-7,155.4,2022-09-23 22:00:00
2755,АСН-2,108.8,2022-09-23 22:55:00
2757,КСУ СУТ,58.3,2022-09-23 23:00:00
2758,АСН-2 ,71,2022-09-24 00:00:00
2759,АСН-2 ,72,2022-09-24 00:05:00
2760,АСН-2 ,78,2022-09-24 00:40:00
2761,КСУ БЕН-5,173.8,2022-09-24 01:00:00
2762,АСН-2 ,78,2022-09-24 01:30:00
2763,КСУ БЕН-1,114.6,2022-09-24 04:00:00
2764,БМ,3315.6,2022-09-24 06:00:00
2765,АСН-2,78.4,2022-09-24 08:10:00
2766,КСУ БЕН-4,98.3,2022-09-24 10:00:00
2767,АСН-1,50.6,2022-09-24 14:05:00
2768,КСУ БЕН-6,92.6,2022-09-24 16:00:00
2769,БМ,3092.3,2022-09-24 18:00:00
2771,КСУ БЕН-7,67.6,2022-09-24 22:00:00
2773,КСУ СУТ,112.6,2022-09-24 23:00:00
2774,АСН-2,53.2,2022-09-25 00:15:00
2775,КСУ БЕН-8,81.1,2022-09-25 04:00:00
2776,БМ,3198.7,2022-09-25 06:00:00
2777,АСН-2,74.6,2022-09-25 08:20:00
2778,КСУ БЕН-8,95.3,2022-09-25 10:00:00
2779,АСН-1,46.8,2022-09-25 14:05:00
2780,КСУ БЕН-3,139.3,2022-09-25 16:00:00
2782,КСУ БЕН-5,172.6,2022-09-25 22:00:00
2784,КСУ СУТ,105.4,2022-09-25 23:00:00
2785,АСН-1,98.7,2022-09-26 00:55:00
2786,АСН-1,98,2022-09-26 02:50:00
2787,КСУ БЕН-7,143.3,2022-09-26 04:00:00
2788,БМ,3128.8,2022-09-26 06:00:00
2789,АСН-1,71.3,2022-09-26 08:10:00
2790,КСУ БЕН-1,86.9,2022-09-26 10:00:00
2791,КСУ БЕН-5,92,2022-09-26 16:00:00
2792,КСУ БЕН-4,206.8,2022-09-26 20:00:00
2794,КСУ БЕН-7,220,2022-09-26 22:00:00
2796,КСУ СУТ,128.6,2022-09-26 23:00:00
2797,АСН-1,60.6,2022-09-27 01:10:00
2798,АСН-1,63.9,2022-09-27 03:05:00
2799,КСУ БЕН-2,92.6,2022-09-27 04:00:00
2800,БМ,3603.4,2022-09-27 06:00:00
2801,АСН-1,52.2,2022-09-27 08:10:00
2802,КСУ БЕН-5,109.9,2022-09-27 10:00:00
2803,КСУ БЕН-4,87.9,2022-09-27 13:00:00
2804,АСН-1,37.2,2022-09-27 14:05:00
2805,КСУ БЕН-8,93.4,2022-09-27 15:00:00
2807,КСУ БЕН-3,160.9,2022-09-27 22:00:00
2809,КСУ СУТ,34.9,2022-09-27 23:00:00
2810,АСН -1,79.4,2022-09-28 00:25:00
2811,КСУ БЕН-5,77.4,2022-09-28 04:00:00
2812,БМ ,7164.1,2022-09-28 06:00:00
2813,АСН-1,46.3,2022-09-28 08:10:00
2814,КСУ БЕН-3,88.5,2022-09-28 10:00:00
2815,КСУ БЕН-9,109.4,2022-09-28 16:00:00
2817,АСН 1-6,27.6,2022-09-28 22:00:00
2819,КСУ СУТ,39.1,2022-09-28 23:00:00
2820,АСН-2,53.4,2022-09-29 02:15:00
2821,КСУ БЕН-5,51.1,2022-09-29 04:00:00
2822,БМ,4107.1,2022-09-29 06:00:00
2823,АСН-1,45,2022-09-29 08:10:00
2824,КСУ БЕН-7,111.3,2022-09-29 10:00:00
2825,АСН-1,38.9,2022-09-29 14:10:00
2826,КСУ БЕН-8,90.6,2022-09-29 16:00:00
2828,КСУ БЕН-1,98,2022-09-29 22:00:00
2830,КСУ СУТ,36.3,2022-09-29 23:00:00
2831,КСУ БЕН-4,80.7,2022-09-30 04:00:00
2832,БМ,3903,2022-09-30 06:00:00
2833,АСН-2,34.7,2022-09-30 08:10:00
2834,КСУ БЕН-9,100.4,2022-09-30 10:00:00
2835,АСН-2,37.2,2022-09-30 15:25:00
2836,КСУ БЕН-3,99.8,2022-09-30 16:00:00
2838,АСН 1-6,35.4,2022-09-30 22:00:00
2839,КСУ СУТ,67.3,2022-09-30 23:00:00
2840,КСУ БЕН-5,74.8,2022-10-01 04:00:00
2841,БМ,3870.6,2022-10-01 06:00:00
2842,КСУ БЕН-1,102.3,2022-10-01 10:00:00
2843,АСН-1,43.7,2022-10-01 14:10:00
2844,КСУ БЕН-4,110.2,2022-10-01 16:00:00
2846,КСУ БЕН-5,130.9,2022-10-01 22:00:00
2848,КСУ СУТ,41.8,2022-10-01 23:00:00
2849,АСН-3,73.5,2022-10-02 00:15:00
2850,АСН-3,50.3,2022-10-02 02:10:00
2851,КСУ БЕН-8,112.4,2022-10-02 04:00:00
2852,БМ,3833.5,2022-10-02 06:00:00
2853,АСН-2,55.7,2022-10-02 08:10:00
2854,КСУ БЕН-1,83.1,2022-10-02 10:00:00
2855,КСУ БЕН-3,93.4,2022-10-02 16:00:00
2857,КСУ БЕН-4,128.7,2022-10-02 22:00:00
2859,КСУ СУТ,69.9,2022-10-02 23:00:00
2860,АСН-2,62.6,2022-10-03 00:10:00
2861,КСУ БЕН-6,136.2,2022-10-03 04:00:00
2862,БМ,1665.9,2022-10-03 06:00:00
2863,АСН-1,58.5,2022-10-03 08:05:00
2864,КСУ БЕН-7,137.1,2022-10-03 10:00:00
2865,АСН-2,59.6,2022-10-03 14:10:00
2866,КСУ БЕН-1,123,2022-10-03 16:00:00
2868,КСУ БЕН-2,123.9,2022-10-03 22:00:00
2870,КСУ СУТ,129.9,2022-10-03 23:00:00
2871,АСН -2,71.9,2022-10-04 00:15:00
2872,КСУ БЕН-4,136.2,2022-10-04 04:00:00
2873,БМ,1712.3,2022-10-04 06:00:00
2874,АСН-3,49.8,2022-10-04 08:10:00
2875,КСУ БЕН-6,138.2,2022-10-04 10:00:00
2876,АСН-2,76.5,2022-10-04 14:30:00
2877,КСУ БЕН-7,126.2,2022-10-04 16:00:00
2879,КСУ БЕН-8,167,2022-10-04 22:00:00
2881,КСУ СУТ,28.8,2022-10-04 23:00:00
2882,АСН-2,29.8,2022-10-05 00:25:00
2883,АСН-3,55.9,2022-10-05 02:05:00
2884,КСУ БЕН-1,173.6,2022-10-05 04:00:00
2885,БМ,1940.3,2022-10-05 06:00:00
2886,АСН-2,40.6,2022-10-05 08:10:00
2887,КСУ БЕН-2,151.4,2022-10-05 10:00:00
2888,АСН-1,87.8,2022-10-05 14:30:00
2889,КСУ БЕН-4,94.7,2022-10-05 16:00:00
2891,КСУ БЕН-5,86.6,2022-10-05 22:00:00
2893,КСУ СУТ,46.4,2022-10-05 23:00:00
2894,АСН-2,51.5,2022-10-06 02:20:00
2895,КСУ БЕН-6,78.6,2022-10-06 04:00:00
2896,БМ,1350.6,2022-10-06 06:00:00
2897,АСН-1,53.8,2022-10-06 08:10:00
2898,КСУ-БЕН-8,83.2,2022-10-06 10:00:00
2899,АСН-1,28.3,2022-10-06 14:15:00
2900,КСУ-БЕН-1,76.6,2022-10-06 16:00:00
2902,КСУ БЕН-4,93.5,2022-10-06 22:00:00
2904,КСУ СУТ,40.2,2022-10-06 23:00:00
2905,АСН-2,70.4,2022-10-07 00:20:00
2906,КСУ БЕН-7,96,2022-10-07 04:00:00
2907,БМ,2689.9,2022-10-07 06:00:00
2908,АСН-1,53.7,2022-10-07 09:00:00
2909,КСУ БЕН-1,98.7,2022-10-07 10:00:00
2910,АСН-2,46.6,2022-10-07 14:05:00
2911,КСУ-БЕН-6,75.3,2022-10-07 16:00:00
2913,КСУ-БЕН-9,140.6,2022-10-07 22:00:00
2915,КСУ СУТ,99.3,2022-10-07 23:00:00
2916,АСН-1,41.1,2022-10-08 00:13:00
2917,АСН-1,75.2,2022-10-08 01:10:00
2918,КСУ-БЕН-4,142.8,2022-10-08 04:00:00
2919,БМ,2647.9,2022-10-08 06:00:00
2920,АСН-2,37.5,2022-10-08 08:05:00
2921,КСУ БЕН -7,141.3,2022-10-08 10:00:00
2922,КСУ БЕН -5,119.9,2022-10-08 14:00:00
2923,АСН-2,42.4,2022-10-08 14:35:00
2924,КСУ БЕН-3,154.7,2022-10-08 18:00:00
2926,КСУ БЕН-4,127.1,2022-10-08 22:00:00
2928,КСУ СУТ,124.9,2022-10-08 23:00:00
2929,АСН-1,88.6,2022-10-09 00:20:00
2930,КСУ БЕН-3,189,2022-10-09 02:00:00
2933,БМ ,2244,2022-10-09 06:00:00
